FipsSVI,Index,ValueCDC,Delta,MedianHouseholdIncome,ScoreCES,Score_SVI,ScaledIndex,ScaledCDC,ScaledCES,ScaledSVI
6001428600,9.024640742,8.8,0.224640742,104632,14.47420136,6.1012,3.907921734,3.760683761,2.163694942,4.186147815
6001428700,12.22283217,8.8,3.422832168,109583,39.26506303,8.1891,5.353284829,3.760683761,6.28950269,6.207250375
6001431200,10.18313433,10.9,0.716865672,64393,22.39107961,6.9623,4.43148135,4.658119658,3.481257762,5.01969895
6001432100,9.713520249,9.3,0.413520249,99116,17.70443227,5.1072,4.219248007,3.974358974,2.701284635,3.223948502
6001432200,11.28425199,12.3,1.015748012,82422,21.19686403,7.2634,4.929110984,5.256410256,3.282510984,5.311165965
6001432300,12.92540831,10.2,2.725408312,91715,31.49569444,6.0077,5.670801042,4.358974359,4.996489098,4.095639127
6001432400,13.52045311,12.9,0.620453108,75000,45.47977429,9.0202,5.939720463,5.512820513,7.323783154,7.011761289
6001432501,14.10894211,11.9,2.20894211,80037,43.73276486,8.118,6.205677115,5.085470085,7.033037913,6.138425052
6001432502,14.58323158,11,3.583231584,96011,32.20588886,8.8776,6.420023416,4.700854701,5.114682877,6.87372344
6001432600,13.98652434,11.7,2.286524342,64067,36.40388726,9.0033,6.150352683,5,5.813332829,6.995401965
6001432700,10.14221829,11.4,1.257781711,102804,23.47230985,5.717,4.412990108,4.871794872,3.661201008,3.814239388
6001432800,9.35075795,9.7,0.34924205,112580,16.92327789,4.8106,4.055304337,4.145299145,2.571281377,2.93683752
6001433000,11.47209205,11.1,0.372092055,90265,29.75629326,6.1769,5.014001806,4.743589744,4.707010056,4.259425972
6001433102,11.67156807,9.7,1.971568069,85900,28.20770073,6.8874,5.104151279,4.145299145,4.449286257,4.947195199
6001433103,11.67195244,12.5,0.828047559,54671,30.78321786,6.9174,5.104324988,5.341880342,4.87791551,4.976235419
6001433104,12.93544826,10.5,2.435448257,68378,27.27307642,9.1499,5.675338408,4.487179487,4.293741835,7.137311844
6001433200,13.98513335,12,1.985133353,69572,44.89606211,8.7054,6.149724052,5.128205128,7.226639123,6.707032573
6001433300,13.52658592,10.9,2.626585922,86281,35.69097394,7.3008,5.942492074,4.658119658,5.694686558,5.34736944
6001433400,11.91920298,11.6,0.319202985,104181,31.3148676,6.902,5.21606527,4.957264957,4.966395073,4.961328106
6001433500,12.75348776,10.9,1.853487762,113477,18.58898799,7.2566,5.593104749,4.658119658,2.848496414,5.304583515
6001433600,14.94357998,13.2,1.743579976,78750,28.19887266,8.2895,6.582876166,5.641025641,4.447817049,6.304438314
6001433800,11.19862939,11.4,0.201370607,68281,27.4325651,8.8182,4.890415446,4.871794872,4.320284667,6.816223803
6001435102,8.592534597,8,0.592534597,144595,16.89919705,5.645,3.712639404,3.418803419,2.567273733,3.744542859
6001435103,8.353967065,8,0.353967065,182456,9.844495727,4.1844,3.604823248,3.418803419,1.393198311,2.330671313
6001435104,14.75286772,11.4,3.35286772,76890,32.9995985,9.0712,6.496687311,4.871794872,5.246775639,7.061129665
6001435200,9.703049842,10.2,0.496950158,118341,19.0386195,6.941,4.214516101,4.358974359,2.92332613,4.999080393
6001435300,11.74475647,12.7,0.955243527,62641,21.22592624,8.0895,5.137227416,5.427350427,3.287347649,6.110836842
6001435400,14.17821563,11.5,2.678215628,59250,31.09744202,9.1675,6.236983992,4.914529915,4.930210122,7.154348773
6001435500,13.21693661,12.5,0.716936607,51887,30.23261339,8.6684,5.802551829,5.341880342,4.786281414,6.671216301
6001436200,14.70993367,0,14.70993367,47027,36.58149216,10.7059,6.477284066,0,5.842890644,8.643531291
6001436300,15.89142819,12,3.891428186,58861,33.47557647,8.8045,7.011238524,5.128205128,5.325990054,6.802962103
6001436401,12.19953785,10.7,1.499537846,94367,21.3351137,7.667,5.342757394,4.572649573,3.305519121,5.701853734
6001436402,8.612996206,10.5,1.887003794,150676,9.369780824,5.2737,3.721886647,4.487179487,1.314194101,3.385121727
6001436500,14.39731466,10.4,3.997314662,62432,33.41825128,8.2031,6.336001723,4.444444444,5.316449736,6.220802478
6001436601,14.74314206,12,2.743142061,63196,27.36096792,7.915,6.49229198,5.128205128,4.308369138,5.941919559
6001436602,15.65046755,12.8,2.850467552,63715,29.34279953,9.1855,6.90234085,5.47008547,4.638194552,7.171772905
6001436700,12.40777728,10.8,1.607777278,76846,26.56467606,8.4479,5.436867329,4.615384615,4.175846632,6.457770679
6001436800,12.73243422,11.6,1.13243422,78426,32.25853439,7.6626,5.583589992,4.957264957,5.123444386,5.697594502
6001436900,16.57736479,12.8,3.777364792,58535,36.05085775,7.7287,7.321234808,5.47008547,5.754580056,5.761579788
6001437000,11.97501408,10.9,1.075014084,92019,32.08767956,7.5964,5.241288058,4.658119658,5.095009949,5.633512415
6001437101,10.39494557,8.2,2.194945567,127520,42.04816007,6.6428,4.527205497,3.504273504,6.752678336,4.710420599
